,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13
54,2094766,Assassin's Creed,54647948,186049908,10278225,PG-13,71,Twentieth Century Fox,Justin Kurzel,Michael Fassbender,Marion Cotillard,4,0,0,0,1,0,0,0,1,0,0,0,0,1
55,947810,Green Zone,35053660,119657778,14309295,R,33,Universal Pictures,Paul Greengrass,Matt Damon,Jason Isaacs,11,0,0,0,0,1,0,0,1,0,0,0,0,0
56,2398241,Smurfs: The Lost Village,45020282,152163264,13210449,PG,63,Sony Pictures Entertainment (SPE),Kelly Asbury,Demi Lovato,Rainn Wilson,3,0,1,1,0,0,0,0,0,1,0,0,1,0
57,1298650,Pirates of the Caribbean: On Stranger Tides,241071802,804642000,90151958,PG-13,75,Walt Disney Studios Motion Pictures,Rob Marshall,Johnny Depp,Penélope Cruz,9,0,1,0,0,0,1,0,1,0,0,0,0,1
58,4777008,Maleficent: Mistress of Evil,113929605,377800484,36948713,PG,54,Walt Disney Studios Motion Pictures,Joachim Rønning,Angelina Jolie,Elle Fanning,1,0,1,0,0,0,1,0,0,1,0,0,1,0
59,2820852,Furious 7,353007020,1162041131,147187040,PG-13,68,Universal Pictures,James Wan,Vin Diesel,Paul Walker,5,0,1,0,0,1,0,0,1,0,0,0,0,1
60,455824,Australia,49554002,162233509,14800723,PG-13,77,Twentieth Century Fox,Baz Luhrmann,Nicole Kidman,Hugh Jackman,12,0,0,0,1,0,0,0,0,1,0,0,0,1
61,1615160,The Foreigner,34393507,111024563,13113024,R,48,STX Entertainment,Martin Campbell,Katie Leung,Jackie Chan,3,1,0,0,0,0,0,0,1,0,0,0,0,0
62,795421,Mamma Mia!,144169664,465743920,27751240,PG-13,68,Universal Pictures,Phyllida Lloyd,Meryl Streep,Pierce Brosnan,12,0,0,0,0,1,0,0,0,0,1,0,0,1
63,1677720,Ready Player One,137690172,445203499,41764050,PG-13,42,Warner Bros.,Steven Spielberg,Tye Sheridan,Olivia Cooke,2,1,0,0,0,0,0,1,1,0,0,0,0,1
64,2231461,Rampage,101028233,327000000,35753093,PG-13,42,Warner Bros.,Brad Peyton,Dwayne Johnson,Naomie Harris,2,0,0,0,0,0,0,1,1,0,0,0,0,1
65,6450804,Terminator: Dark Fate,62253077,198866215,29033832,R,49,Paramount Pictures,Tim Miller,Linda Hamilton,Arnold Schwarzenegger,1,0,1,0,0,0,0,0,1,0,0,0,0,0
66,1219827,Ghost in the Shell,40563557,129238364,18676033,PG-13,57,Paramount Pictures,Rupert Sanders,Scarlett Johansson,Pilou Asbæk,3,0,0,0,0,0,0,0,1,0,0,0,0,1
67,1727824,Bohemian Rhapsody,216668042,687295136,51061119,PG-13,51,Twentieth Century Fox,Bryan Singer,Rami Malek,Lucy Boynton,2,0,0,0,1,0,0,0,0,0,0,0,0,1
68,1528100,Exodus: Gods and Kings,65014513,203161118,24115934,PG-13,45,Twentieth Century Fox,Ridley Scott,Christian Bale,Joel Edgerton,6,0,1,0,1,0,0,0,1,0,0,0,0,1
69,1234721,RoboCop,58607007,184081958,21681430,PG-13,55,Sony Pictures Entertainment (SPE),José Padilha,Joel Kinnaman,Gary Oldman,6,0,0,1,0,0,0,0,1,0,0,0,0,1
70,1605630,American Reunion,57011521,177978063,21514080,R,50,Universal Pictures,Jon Hurwitz,Jason Biggs,Alyson Hannigan,8,0,1,0,0,1,0,0,0,0,1,0,0,0
71,1243957,The Tourist,67631157,211149284,16472458,PG-13,69,Sony Pictures Entertainment (SPE),Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie,10,0,0,1,0,0,0,0,1,0,0,0,0,1
72,4649466,Kingsman: The Golden Circle,100234838,310667824,39023010,R,70,Twentieth Century Fox,Matthew Vaughn,Taron Egerton,Colin Firth,3,0,1,0,1,0,0,0,1,0,0,0,0,0
73,325710,The Last Samurai,111127263,343500000,24271354,R,28,Warner Bros.,Edward Zwick,Tom Cruise,Ken Watanabe,17,0,0,0,0,0,0,1,1,0,0,0,0,0
74,314331,Love Actually,59696144,185239238,6886080,R,51,Universal Pictures,Richard Curtis,Hugh Grant,Martine McCutcheon,17,0,0,0,0,1,0,0,0,0,1,0,0,0
75,4123430,Fantastic Beasts: The Crimes of Grindelwald,159555901,495300000,62163104,PG-13,43,Warner Bros.,David Yates,Eddie Redmayne,Katherine Waterston,2,0,1,0,0,0,0,1,0,1,0,0,0,1
76,1428538,Hansel & Gretel: Witch Hunters,55703475,170646274,19690956,R,52,Paramount Pictures,Tommy Wirkola,Jeremy Renner,Gemma Arterton,7,1,1,0,0,0,0,0,1,0,0,0,0,0
77,1815862,After Earth,60522097,183089885,27520040,PG-13,56,Sony Pictures Entertainment (SPE),M. Night Shyamalan,Jaden Smith,David Denman,7,0,0,1,0,0,0,0,1,0,0,0,0,1
78,1302011,Kung Fu Panda 2,165249063,500443218,47656302,PG,65,DreamWorks,Jennifer Yuh Nelson,Jack Black,Angelina Jolie,9,0,1,0,0,0,0,0,1,0,0,0,1,0
79,1663662,Pacific Rim,101802906,309200000,37285325,PG-13,54,Warner Bros.,Guillermo del Toro,Idris Elba,Charlie Hunnam,7,0,0,0,0,0,0,1,1,0,0,0,0,1
80,1270797,Venom,213515506,642569645,80255756,PG-13,75,Sony Pictures Entertainment (SPE),Ruben Fleischer,Tom Hardy,Michelle Williams,2,1,0,1,0,0,0,0,1,0,0,0,0,1
81,1800741,Step Up Revolution,35074677,105396069,11731708,PG-13,42,Lionsgate,Scott Speer,Kathryn McCormick,Ryan Guzman,8,0,1,0,0,0,0,0,0,0,0,0,0,1
82,980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,104386950,311299267,24005069,PG,75,Twentieth Century Fox,Michael Apted,Ben Barnes,Skandar Keynes,10,0,1,0,1,0,0,0,0,1,0,0,1,0
83,1335975,47 Ronin,38362475,113421364,9910310,PG-13,48,Universal Pictures,Carl Rinsch,Keanu Reeves,Hiroyuki Sanada,7,0,0,0,0,1,0,0,1,0,0,0,0,1
84,472181,The Smurfs,142614158,421135165,35611637,PG,81,Sony Pictures Entertainment (SPE),Raja Gosnell,Hank Azaria,Katy Perry,9,0,0,1,0,0,0,0,0,1,0,0,1,0
85,243155,Bridget Jones's Diary,71543427,210386368,10733933,R,15,Miramax,Sharon Maguire,Renée Zellweger,Colin Firth,19,1,0,0,0,0,0,0,0,0,1,0,0,0
86,859163,The Mummy: Tomb of the Dragon Emperor,102491776,300958054,40457770,PG-13,70,Universal Pictures,Rob Cohen,Brendan Fraser,Jet Li,12,0,1,0,0,1,0,0,1,0,0,0,0,1
87,349683,King Arthur,51882244,151685613,15193907,PG-13,38,Walt Disney Studios Motion Pictures,Antoine Fuqua,Clive Owen,Stephen Dillane,16,1,0,0,0,0,1,0,1,0,0,0,0,1
88,3469046,Despicable Me 3,264624300,770175831,72434025,PG,67,Universal Pictures,Kyle Balda,Steve Carell,Kristen Wiig,3,0,1,0,0,1,0,0,0,1,0,0,1,0
89,2567026,Alice Through the Looking Glass,77041381,222415643,26858726,PG,46,Walt Disney Studios Motion Pictures,James Bobin,Mia Wasikowska,Johnny Depp,4,1,1,0,0,0,1,0,0,1,0,0,1,0
90,401729,John Carter,73078100,211061000,30180188,PG-13,52,Walt Disney Studios Motion Pictures,Andrew Stanton,Taylor Kitsch,Lynn Collins,8,1,0,0,0,0,1,0,1,0,0,0,0,1
91,1617661,Jupiter Ascending,47387723,136500000,18372372,PG-13,57,Warner Bros.,Lana Wachowski,Channing Tatum,Mila Kunis,5,0,0,0,0,0,0,1,1,0,0,0,0,1
92,829150,Dracula Untold,56280355,160843925,23514615,PG-13,57,Universal Pictures,Gary Shore,Luke Evans,Dominic Cooper,6,1,0,0,0,1,0,0,1,0,0,0,0,1
93,2380307,Coco,209726015,597357873,50802605,PG,53,Walt Disney Studios Motion Pictures,Lee Unkrich,Anthony Gonzalez,Gael García Bernal,3,1,0,0,0,0,1,0,0,1,0,0,1,0
94,6565702,X-Men: Dark Phoenix,65845974,186597000,32828348,PG-13,54,Twentieth Century Fox,Simon Kinberg,James McAvoy,Michael Fassbender,1,0,1,0,1,0,0,0,1,0,0,0,0,1
95,4046784,Maze Runner: The Scorch Trials,81697192,230598864,30316510,PG-13,79,Twentieth Century Fox,Wes Ball,Dylan O'Brien,Kaya Scodelario,5,1,1,0,1,0,0,0,1,0,0,0,0,1
96,2357291,Rio 2,131538435,367242682,39327869,G,55,Twentieth Century Fox,Carlos Saldanha,Jesse Eisenberg,Anne Hathaway,6,0,1,0,1,0,0,0,0,1,0,1,0,0
97,6966692,Green Book,85080171,236672485,320429,PG-13,71,Universal Pictures,Peter Farrelly,Viggo Mortensen,Mahershala Ali,2,0,0,0,0,1,0,0,0,0,0,0,0,1
98,1972591,King Arthur: Legend of the Sword,39175066,109500000,15371270,PG-13,41,Warner Bros.,Guy Ritchie,Charlie Hunnam,Astrid Bergès-Frisbey,3,1,1,0,0,0,0,1,1,0,0,0,0,1
99,1628841,Independence Day: Resurgence,103144286,286537649,41039944,PG-13,56,Twentieth Century Fox,Roland Emmerich,Liam Hemsworth,Jeff Goldblum,4,0,1,0,1,0,0,0,1,0,0,0,0,1
100,1193631,Step Up 3D,42400223,116891586,15812311,PG-13,48,Walt Disney Studios Motion Pictures,Jon M. Chu,Sharni Vinson,Rick Malambri,10,0,1,0,0,0,1,0,0,0,0,0,0,1
101,2310332,The Hobbit: The Battle of the Five Armies,255119788,700900000,54724334,PG-13,50,Warner Bros.,Peter Jackson,Ian McKellen,Martin Freeman,6,1,1,0,0,0,0,1,0,1,0,0,0,1
102,332452,Troy,133378256,364031596,46865412,R,45,Warner Bros.,Wolfgang Petersen,Brad Pitt,Eric Bana,16,1,0,0,0,0,0,1,0,0,0,0,0,0
103,448694,Puss in Boots,149260504,405726973,34077439,PG,53,DreamWorks,Chris Miller,Antonio Banderas,Salma Hayek,9,0,0,0,0,0,0,0,0,1,0,0,1,0
104,1622979,Final Destination 5,42587643,115300000,18031396,R,55,Warner Bros.,Steven Quale,Nicholas D'Agosto,Emma Bell,9,0,1,0,0,0,0,1,0,0,0,0,0,0
105,1764651,The Expendables 2,85028192,229947763,28591370,R,48,Lionsgate,Simon West,Sylvester Stallone,Liam Hemsworth,8,0,1,0,0,0,0,0,1,0,0,0,0,0
106,1631867,Edge of Tomorrow,100206256,270335000,28760246,PG-13,54,Warner Bros.,Doug Liman,Tom Cruise,Emily Blunt,6,0,0,0,0,0,0,1,1,0,0,0,0,1
107,473075,Prince of Persia: The Sands of Time,90759676,245606000,30095259,PG-13,59,Walt Disney Studios Motion Pictures,Mike Newell,Jake Gyllenhaal,Gemma Arterton,11,0,1,0,0,0,1,0,1,0,0,0,0,1
108,1170358,The Hobbit: The Desolation of Smaug,258366855,700000000,73645197,PG-13,54,Warner Bros.,Peter Jackson,Ian McKellen,Martin Freeman,7,1,1,0,0,0,0,1,0,1,0,0,0,1
109,4477536,Fifty Shades Freed,100407760,271577258,38560195,R,61,Universal Pictures,James Foley,Dakota Johnson,Jamie Dornan,2,1,1,0,0,1,0,0,0,0,0,0,0,0
110,1109624,Paddington,76271832,206105718,18966676,PG,56,Dimension Films,Paul King,Hugh Bonneville,Sally Hawkins,6,1,0,0,0,0,0,0,0,1,0,0,1,0
111,2674426,Me Before You,56245075,152069111,18723269,PG-13,36,Warner Bros.,Thea Sharrock,Emilia Clarke,Sam Claflin,4,1,0,0,0,0,0,1,0,0,0,0,0,1
112,816692,Interstellar,188020017,508238152,47510360,PG-13,63,Paramount Pictures,Christopher Nolan,Matthew McConaughey,Anne Hathaway,6,0,0,0,0,0,0,0,0,1,0,0,0,1
113,499549,Avatar,760507625,2029931467,77025481,PG-13,77,Twentieth Century Fox,James Cameron,Sam Worthington,Zoe Saldana,11,0,0,0,1,0,0,0,1,0,0,0,0,1
114,4701182,Bumblebee,127195589,340794056,21654047,PG-13,54,Paramount Pictures,Travis Knight,Hailee Steinfeld,Jorge Lendeborg Jr.,2,0,1,0,0,0,0,0,1,0,0,0,0,1
115,381061,Casino Royale,167445960,449055659,40833156,PG-13,81,Sony Pictures Entertainment (SPE),Martin Campbell,Daniel Craig,Eva Green,14,1,1,1,0,0,0,0,1,0,0,0,0,1
116,2446042,Taken 3,89256424,237222717,39201657,PG-13,56,Twentieth Century Fox,Olivier Megaton,Liam Neeson,Forest Whitaker,5,0,1,0,1,0,0,0,1,0,0,0,0,1
117,808151,Angels & Demons,133375846,352554970,46204168,PG-13,79,Sony Pictures Entertainment (SPE),Ron Howard,Tom Hanks,Ewan McGregor,11,1,1,1,0,0,0,0,1,0,0,0,0,1
118,4779682,The Meg,145443742,384815731,45402195,PG-13,41,Warner Bros.,Jon Turteltaub,Jason Statham,Bingbing Li,4,1,0,0,0,0,0,1,1,0,0,0,0,1
119,1074638,Skyfall,304360277,804200736,88364714,PG-13,57,Sony Pictures Entertainment (SPE),Sam Mendes,Daniel Craig,Javier Bardem,8,1,1,1,0,0,0,0,1,0,0,0,0,1
