id,URL,Rank,Title,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,domestic_opening_gross,rating,foreign_market_count,genres,distributor,director,actor_1,actor_2,IMDB_link
2267998,/title/tt2267998/?ref_=bo_cso_table_152,352,Gone Girl,"$369,330,363","$167,767,189",45.4%,"$201,563,174",54.6%,2014,"$37,513,109",R,64,"Drama
    
        Mystery
    
        Thriller",Twentieth Century Fox,David Fincher,Ben Affleck,Rosamund Pike,https://pro.imdb.com/title/tt2267998
0106977,/title/tt0106977/?ref_=bo_cso_table_153,353,The Fugitive,"$368,875,760","$183,875,760",49.8%,"$185,000,000",50.2%,1993,"$23,758,855",PG-13,0,"Action
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller",Warner Bros.,Andrew Davis,Harrison Ford,Tommy Lee Jones,https://pro.imdb.com/title/tt0106977
0163025,/title/tt0163025/?ref_=bo_cso_table_154,354,Jurassic Park III,"$368,780,809","$181,171,875",49.1%,"$187,608,934",50.9%,2001,"$50,771,645",PG-13,13,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller",Universal Pictures,Joe Johnston,Sam Neill,William H. Macy,https://pro.imdb.com/title/tt0163025
0259446,/title/tt0259446/?ref_=bo_cso_table_155,355,My Big Fat Greek Wedding,"$368,744,044","$241,438,208",65.5%,"$127,305,836",34.5%,2002,"$597,362",PG,27,"Comedy
    
        Drama
    
        Romance",IFC Films,Joel Zwick,Nia Vardalos,John Corbett,https://pro.imdb.com/title/tt0259446
0112864,/title/tt0112864/?ref_=bo_cso_table_156,357,Die Hard with a Vengeance,"$366,236,538","$100,012,499",27.3%,"$266,224,039",72.7%,1995,"$22,162,245",R,48,"Action
    
        Adventure
    
        Thriller",Twentieth Century Fox,John McTiernan,Bruce Willis,Jeremy Irons,https://pro.imdb.com/title/tt0112864
0448115,/title/tt0448115/?ref_=bo_cso_table_157,358,Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%,2019,"$53,505,326",PG-13,45,"Action
    
        Adventure
    
        Comedy
    
        Fantasy",Warner Bros.,David F. Sandberg,Zachary Levi,Mark Strong,https://pro.imdb.com/title/tt0448115
5814060,/title/tt5814060/?ref_=bo_cso_table_158,359,The Nun,"$365,551,694","$117,450,119",32.1%,"$248,101,575",67.9%,2018,"$53,807,379",R,41,"Horror
    
        Mystery
    
        Thriller",Warner Bros.,Corin Hardy,Demián Bichir,Taissa Farmiga,https://pro.imdb.com/title/tt5814060
0952640,/title/tt0952640/?ref_=bo_cso_table_159,360,Alvin and the Chipmunks,"$365,352,546","$217,326,974",59.5%,"$148,025,572",40.5%,2007,"$44,307,417",PG,71,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Music",Twentieth Century Fox,Tim Hill,Jason Lee,Ross Bagdasarian Jr.,https://pro.imdb.com/title/tt0952640
0104431,/title/tt0104431/?ref_=bo_cso_table_160,361,Home Alone 2: Lost in New York,"$365,154,932","$173,585,516",47.5%,"$191,569,416",52.5%,1992,"$31,126,882",PG,56,"Adventure
    
        Comedy
    
        Crime
    
        Family",Twentieth Century Fox,Chris Columbus,Macaulay Culkin,Joe Pesci,https://pro.imdb.com/title/tt0104431
0125439,/title/tt0125439/?ref_=bo_cso_table_161,362,Notting Hill,"$363,970,211","$116,089,678",31.9%,"$247,880,533",68.1%,1999,"$21,811,180",PG-13,4 ,"Comedy
    
        Drama
    
        Romance",Universal Pictures,Roger Michell,Hugh Grant,Julia Roberts,https://pro.imdb.com/title/tt0125439
0120623,/title/tt0120623/?ref_=bo_cso_table_162,363,A Bug's Life,"$363,258,859","$162,798,565",44.8%,"$200,460,294",55.2%,1998,"$291,121",,0,"Adventure
    
        Animation
    
        Comedy
    
        Family",Walt Disney Studios Motion Pictures,John Lasseter,Kevin Spacey,Dave Foley,https://pro.imdb.com/title/tt0120623
2692250,/title/tt2692250/?ref_=bo_cso_table_163,364,Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",31.3%,"$249,458,014",68.7%,2014,"$17,100,520",PG,57,"Adventure
    
        Comedy
    
        Family
    
        Fantasy",Twentieth Century Fox,Shawn Levy,Ben Stiller,Robin Williams,https://pro.imdb.com/title/tt2692250
0349903,/title/tt0349903/?ref_=bo_cso_table_164,365,Ocean's Twelve,"$362,744,280","$125,544,280",34.6%,"$237,200,000",65.4%,2004,"$39,153,380",PG-13,50,"Crime
    
        Thriller",Warner Bros.,Steven Soderbergh,George Clooney,Brad Pitt,https://pro.imdb.com/title/tt0349903
0133152,/title/tt0133152/?ref_=bo_cso_table_165,366,Planet of the Apes,"$362,211,740","$180,011,740",49.7%,"$182,200,000",50.3%,2001,"$68,532,960",PG-13,13,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller",Twentieth Century Fox,Tim Burton,Mark Wahlberg,Helena Bonham Carter,https://pro.imdb.com/title/tt0133152
1951261,/title/tt1951261/?ref_=bo_cso_table_166,367,The Hangover Part III,"$362,000,072","$112,200,072",31%,"$249,800,000",69%,2013,"$41,671,198",R,52,"Comedy
    
        Crime",Warner Bros.,Todd Phillips,Bradley Cooper,Zach Galifianakis,https://pro.imdb.com/title/tt1951261
0143145,/title/tt0143145/?ref_=bo_cso_table_167,368,The World Is Not Enough,"$361,832,400","$126,943,684",35.1%,"$234,888,716",64.9%,1999,"$35,519,007",PG-13,0,"Action
    
        Adventure
    
        Thriller",Metro-Goldwyn-Mayer (MGM),Michael Apted,Pierce Brosnan,Sophie Marceau,https://pro.imdb.com/title/tt0143145
6170484,/title/tt6170484/?ref_=bo_cso_table_168,369,Monster Hunt 2,"$361,682,618","$706,153",0.2%,"$360,976,465",99.8%,2018,"$341,834",,8,"Adventure
    
        Comedy
    
        Fantasy
    
        Sci-Fi",Lionsgate,Raman Hui,Tony Chiu-Wai Leung,Baihe Bai,https://pro.imdb.com/title/tt6170484
1013752,/title/tt1013752/?ref_=bo_cso_table_169,370,Fast & Furious,"$360,364,265","$155,064,265",43%,"$205,300,000",57%,2009,"$70,950,500",PG-13,65,"Action
    
        Thriller",Universal Pictures,Justin Lin,Vin Diesel,Paul Walker,https://pro.imdb.com/title/tt1013752
1959490,/title/tt1959490/?ref_=bo_cso_table_170,371,Noah,"$359,200,044","$101,200,044",28.2%,"$258,000,000",71.8%,2014,"$43,720,472",PG-13,50,"Action
    
        Adventure
    
        Drama",Paramount Pictures,Darren Aronofsky,Russell Crowe,Jennifer Connelly,https://pro.imdb.com/title/tt1959490
1155076,/title/tt1155076/?ref_=bo_cso_table_171,372,The Karate Kid,"$359,126,022","$176,591,618",49.2%,"$182,534,404",50.8%,2010,"$55,665,805",PG,59,"Action
    
        Drama
    
        Family
    
        Sport",Sony Pictures Entertainment (SPE),Harald Zwart,Jackie Chan,Jaden Smith,https://pro.imdb.com/title/tt1155076
