,Title,Foreign_Gross,domestic_opening_gross,foreign_market_count,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13,Is_Animation,Is_Family,Is_Horror,Is_Sci-Fi,Is_Fantasy,Is_Romance,imdb_title_id,weighted_average_vote
661,The Expendables 3,175335033,15879645,51,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt2333784,6.1
662,White House Down,132262953,24852258,56,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt2334879,6.4
663,The Mummy,329003712,31688375,65,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,tt2345759,5.4
664,Rio 2,367242682,39327869,55,6,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,tt2357291,6.3
665,The Intern,118800000,17728313,63,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,tt2361509,7.1
666,Need for Speed,159700000,17844939,51,6,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,tt2369135,6.4
667,Spectre,680600000,70403148,65,5,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt2379713,6.8
668,Coco,597357873,50802605,53,3,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,tt2380307,8.4
669,Mission: Impossible - Rogue Nation,487674259,55520089,64,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt2381249,7.4
670,Focus,104900000,18685137,60,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,tt2381941,6.6
671,The Huntsman: Winter's War,116599148,19445035,54,4,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,tt2381991,6.1
672,How to Train Your Dragon: The Hidden World,361033909,55022245,67,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,tt2386490,7.5
673,Avengers: Age of Ultron,943803672,191271109,66,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,tt2395427,7.3
674,Smurfs: The Lost Village,152163264,13210449,63,3,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,tt2398241,6.0
675,Gods of Egypt,119527400,14123903,54,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,tt2404233,5.4
676,The Magnificent Seven,68927981,34703397,57,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt2404435,6.9
677,Taken 3,237222717,39201657,56,5,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt2446042,6.0
678,The Peanuts Movie,116054702,44213073,60,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,tt2452042,7.1
679,Star Wars: Episode VII - The Force Awakens,1131561811,247966675,62,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,tt2488496,7.9
680,Hotel Transylvania 2,305099890,48464322,70,5,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,tt2510894,6.7
681,Star Wars: Episode VIII - The Last Jedi,712358805,220009584,52,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,tt2527336,7.0
682,Star Wars: Episode IX - The Rise of Skywalker,558941706,177383864,53,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,tt2527338,6.6
683,Arrival,102842047,24074047,60,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,tt2543164,7.9
684,Wonder,173517797,27547866,73,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,tt2543472,8.0
685,Pacific Rim: Uprising,231055623,28116535,65,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt2557478,5.6
686,Alice Through the Looking Glass,222415643,26858726,46,4,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,tt2567026,6.2
687,The Fault in Our Stars,182294484,48002523,52,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,tt2582846,7.7
688,Resident Evil: The Final Chapter,285412558,13601682,58,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,tt2592614,5.5
689,Ted 2,134387221,33507870,58,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt2637276,6.3
690,Star Trek Beyond,184623476,59253211,54,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt2660888,7.1
691,Me Before You,152069111,18723269,36,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,tt2674426,7.4
692,Night at the Museum: Secret of the Tomb,249458014,17100520,57,6,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,tt2692250,6.2
693,Dr. Seuss' the Grinch,240975007,67572855,65,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,tt2709692,6.3
694,The Secret Life of Pets,507073607,104352905,63,4,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,tt2709768,6.5
695,Fury,126004791,23702421,60,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt2713180,7.6
696,Everest,159945314,7222035,67,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt2719848,7.1
697,Beauty and the Beast,759583221,174750616,52,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,tt2771200,7.1
698,Pete's Dragon,67462187,21514095,48,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,tt2788732,6.7
699,Kingsman: The Secret Service,286089822,36206331,63,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt2802144,7.7
700,Furious 7,1162041131,147187040,68,5,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt2820852,7.1
701,Pitch Perfect 2,102847849,69216890,58,5,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,tt2848292,6.4
702,Lucy,332200000,43899340,53,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,tt2872732,6.4
703,Red Sparrow,104698129,16853422,68,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt2873282,6.6
704,The Divergent Series: Insurgent,166823455,52263680,67,5,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt2908446,6.2
705,Zootopia,682523247,75063401,60,4,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,tt2948356,8.0
706,Alvin and the Chipmunks: The Road Chip,148911649,14287159,57,5,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,tt2974918,5.0
707,Batman v Superman: Dawn of Justice,543277334,166007347,64,4,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,tt2975590,6.4
708,Planes: Fire & Rescue,87800000,17509407,55,6,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,tt2980706,6.0
709,The Jungle Book,602550880,103261464,60,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,tt3040964,7.4
710,Inferno,185677685,14860425,63,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt3062096,6.2
711,Jackass Presents: Bad Grandpa,49823528,32055177,30,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt3063516,6.5
712,The Conjuring 2,217922810,40406314,41,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,tt3065204,7.3
713,Creed,63800000,29632823,52,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,tt3076658,7.6
714,Spy,124840507,29085719,62,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt3079380,7.0
715,Crazy Rich Asians,64005815,26510140,29,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,tt3104988,6.9
716,Now You See Me 2,269822066,22383146,67,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt3110958,6.5
717,Trainwreck,30583093,30097040,47,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,tt3152624,6.2
718,Fantastic Beasts and Where to Find Them,580006041,74403387,42,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,tt3183660,7.3
719,Sully,115727590,35028301,41,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,tt3263904,7.4
720,Little Women,108500000,16755310,69,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,tt3281548,7.8
721,London Has Fallen,143230187,21635601,50,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt3300542,5.9
722,Logan,392744368,88411916,71,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,tt3315342,8.1
723,Annabelle,172773848,37134255,53,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,tt3322940,5.4
