,Title,Foreign_Gross,domestic_opening_gross,foreign_market_count,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13,Is_Animation,Is_Family,Is_Horror,Is_Sci-Fi,Is_Fantasy,Is_Romance,imdb_title_id,weighted_average_vote
797,The Secret Life of Pets 2,271176898,46652680,66,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,tt5113040,6.5
798,Peter Rabbit,236013009,25010928,74,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,tt5117670,6.6
799,Annabelle: Creation,204423683,35006404,40,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,tt5140878,6.5
800,Ocean's 8,157500000,41607378,40,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,tt5164214,6.2
801,Hotel Transylvania 3: Summer Vacation,361073758,44076225,75,2,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,tt5220122,6.3
802,Deadpool 2,461202444,125507153,70,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,tt5463162,7.7
803,Hustlers,52600000,33181361,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt5503686,6.3
804,The Nutcracker and the Four Realms,119102218,20352491,53,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,tt5523010,5.5
805,The Shape of Water,131473877,166564,67,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,tt5580390,7.3
806,Daddy's Home 2,76583737,29651193,49,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,tt5657846,6.0
807,Insidious: The Last Key,100140258,29581355,65,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,tt5726086,5.7
808,Skyscraper,236448841,24905015,66,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt5758778,5.8
809,The Nun,248101575,53807379,41,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,tt5814060,5.3
810,Spies in Disguise,104859751,13354798,54,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,tt5814534,6.8
811,Ralph Breaks the Internet,328232251,56237634,53,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,tt5848272,7.1
812,Pokémon Detective Pikachu,288900000,54365242,46,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,tt5884052,6.6
813,Escape Room,98706476,18238172,70,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,tt5886046,6.3
814,The Angry Birds Movie 2,106124931,10354073,76,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,tt6095472,6.4
815,The Lion King,1113325747,191770759,56,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,tt6105098,6.9
816,Aladdin,695134737,91500929,55,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,tt6139732,7.0
817,John Wick: Chapter 3 - Parabellum,155694040,56818067,75,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt6146586,7.5
818,Smallfoot,130800000,23045635,40,2,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,tt6182908,6.6
819,Angel Has Fallen,77631541,21380987,55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt6189022,6.4
820,The Post,97866009,526011,67,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt6294822,7.2
821,Spider-Man: Far from Home,741395911,92579212,75,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt6320628,7.5
822,Abominable,118336168,20612100,64,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,tt6324278,7.0
823,Creed II,98500000,35574710,43,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt6343314,7.1
824,Downton Abbey,96966620,31033665,55,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,tt6398184,7.4
825,Terminator: Dark Fate,198866215,29033832,49,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,tt6450804,6.2
826,X-Men: Dark Phoenix,186597000,32828348,54,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt6565702,5.8
827,A Quiet Place,152924808,50203562,57,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,tt6644200,7.5
828,Dolittle,168244352,21844045,67,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,tt6673612,5.6
829,Tenet,262000000,20200000,31,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,tt6723592,7.9
830,Parasite,204158673,393216,34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt6751668,8.6
831,Glass,135950571,40328920,52,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,tt6823368,6.7
832,Us,80100000,71117625,64,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tt6857112,6.9
833,Mamma Mia! Here We Go Again,274466207,34952180,65,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,tt6911608,6.6
834,Johnny English Strikes Again,154560329,1638895,65,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,tt6921996,6.2
835,Green Book,236672485,320429,71,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt6966692,8.2
836,Once Upon a Time... In Hollywood,231840898,41082018,72,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt7131622,7.6
837,Onward,83428277,39119861,53,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,tt7146812,7.4
838,Joker,738800000,96202337,43,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,tt7286456,8.5
839,It Chapter Two,261500000,91062152,42,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,tt7349950,6.5
840,Harley Quinn: Birds of Prey,117700000,33010017,43,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,tt7713068,6.1
841,The Mule,71000000,17509431,42,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,tt7959026,7.0
842,Jumanji: The Next Level,479744747,59251543,74,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,tt7975244,6.7
843,Yesterday,79724048,17010050,63,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,tt8079248,6.8
844,Annabelle Comes Home,157100000,20269723,43,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,tt8350360,5.9
845,1917,225561315,576216,73,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt8579674,8.3
846,Knives Out,143869563,26769548,77,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,tt8946378,7.9
847,Weathering with You,185388136,1808533,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,tt9426210,7.6
