,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy
206,2267968,Kung Fu Panda 3,"$143,528,619","$377,642,206","$41,282,042",PG,59,Twentieth Century Fox,Alessandro Carloni,Jack Black,Bryan Cranston,4,0,1,0,1,0,0,0,1,0,0
248,2872732,Lucy,"$126,663,600","$332,200,000","$43,899,340",R,53,Universal Pictures,Luc Besson,Scarlett Johansson,Morgan Freeman,6,0,0,0,0,1,0,0,1,0,0
443,1142988,The Ugly Truth,"$88,915,214","$232,767,386","$27,605,576",R,76,Sony Pictures Entertainment (SPE),Robert Luketic,Katherine Heigl,Gerard Butler,11,0,0,1,0,0,0,0,0,0,1
580,1477715,This Is It,"$72,091,016","$189,092,572","$23,234,394",PG,60,Sony Pictures Entertainment (SPE),Kenny Ortega,Michael Jackson,Alex Al,11,0,0,1,0,0,0,0,0,0,0
488,1646987,Wrath of the Titans,"$83,670,083","$218,300,000","$33,457,188",PG-13,52,Warner Bros.,Jonathan Liebesman,Sam Worthington,Liam Neeson,8,1,1,0,0,0,0,1,1,0,0
93,4912910,Mission: Impossible - Fallout,"$220,159,104","$570,961,322","$61,236,534",PG-13,57,Paramount Pictures,Christopher McQuarrie,Tom Cruise,Henry Cavill,2,0,1,0,0,0,0,0,1,0,0
958,1025100,Gemini Man,"$48,546,770","$124,922,746","$20,552,372",PG-13,57,Paramount Pictures,Ang Lee,Will Smith,Mary Elizabeth Winstead,1,0,0,0,0,0,0,0,1,0,0
369,1959490,Noah,"$101,200,044","$258,000,000","$43,720,472",PG-13,50,Paramount Pictures,Darren Aronofsky,Russell Crowe,Jennifer Connelly,6,0,0,0,0,0,0,0,1,0,0
1139,6095472,The Angry Birds Movie 2,"$41,667,116","$106,124,931","$10,354,073",PG,76,Sony Pictures Entertainment (SPE),Thurop Van Orman,Jason Sudeikis,Josh Gad,1,0,1,1,0,0,0,0,0,1,0
837,3691740,The BFG,"$55,483,770","$139,759,641","$18,775,350",PG,58,Walt Disney Studios Motion Pictures,Steven Spielberg,Mark Rylance,Ruby Barnhill,4,1,0,0,0,0,1,0,0,1,0
12,1201607,Harry Potter and the Deathly Hallows: Part 2,"$381,409,310","$960,783,523","$169,189,427",PG-13,60,Warner Bros.,David Yates,Daniel Radcliffe,Emma Watson,9,0,1,0,0,0,0,1,0,1,0
509,3411444,Ferdinand,"$84,410,380","$211,658,819","$13,401,586",PG,69,Twentieth Century Fox,Carlos Saldanha,John Cena,Kate McKinnon,3,1,0,0,1,0,0,0,0,1,0
152,1646971,How to Train Your Dragon 2,"$177,002,924","$444,534,595","$49,451,322",PG,55,Twentieth Century Fox,Dean DeBlois,Jay Baruchel,Cate Blanchett,6,0,1,0,1,0,0,0,1,0,0
163,830515,Quantum of Solace,"$168,368,427","$421,212,055","$67,528,882",PG-13,81,Sony Pictures Entertainment (SPE),Marc Forster,Daniel Craig,Olga Kurylenko,12,1,1,1,0,0,0,0,1,0,0
321,3741700,Godzilla: King of the Monsters,"$110,500,138","$276,100,000","$47,776,293",PG-13,44,Warner Bros.,Michael Dougherty,Kyle Chandler,Vera Farmiga,1,0,1,0,0,0,0,1,1,0,0
187,3385516,X-Men: Apocalypse,"$155,442,489","$388,491,616","$65,769,562",PG-13,43,Twentieth Century Fox,Bryan Singer,James McAvoy,Michael Fassbender,4,0,1,0,1,0,0,0,1,0,0
121,1872181,The Amazing Spider-Man 2,"$202,853,933","$506,128,390","$91,608,337",PG-13,57,Sony Pictures Entertainment (SPE),Marc Webb,Andrew Garfield,Emma Stone,6,0,1,1,0,0,0,0,1,0,0
500,433035,Real Steel,"$85,468,508","$213,800,000","$27,319,677",PG-13,51,Walt Disney Studios Motion Pictures,Shawn Levy,Hugh Jackman,Evangeline Lilly,9,1,0,0,0,0,1,0,1,0,0
128,2381249,Mission: Impossible - Rogue Nation,"$195,042,377","$487,674,259","$55,520,089",PG-13,64,Paramount Pictures,Christopher McQuarrie,Tom Cruise,Rebecca Ferguson,5,0,1,0,0,0,0,0,1,0,0
101,382625,The Da Vinci Code,"$217,536,138","$542,470,807","$77,073,388",PG-13,71,Sony Pictures Entertainment (SPE),Ron Howard,Tom Hanks,Audrey Tautou,14,1,0,1,0,0,0,0,0,0,0
148,1409024,Men in Black 3,"$179,020,854","$445,005,922","$54,592,779",PG-13,57,Sony Pictures Entertainment (SPE),Barry Sonnenfeld,Will Smith,Tommy Lee Jones,8,0,1,1,0,0,0,0,1,0,0
85,3183660,Fantastic Beasts and Where to Find Them,"$234,037,575","$580,006,041","$74,403,387",PG-13,42,Warner Bros.,David Yates,Eddie Redmayne,Katherine Waterston,4,0,0,0,0,0,0,1,0,1,0
107,1277953,Madagascar 3: Europe's Most Wanted,"$216,391,482","$530,529,792","$60,316,738",PG,55,DreamWorks,Eric Darnell,Ben Stiller,Jada Pinkett Smith,8,0,1,0,0,0,0,0,0,1,0
20,2293640,Minions,"$336,045,770","$823,398,892","$115,718,405",PG,67,Universal Pictures,Kyle Balda,Sandra Bullock,Jon Hamm,5,0,0,0,0,1,0,0,0,1,0
384,3402236,Murder on the Orient Express,"$102,826,543","$249,967,538","$28,681,472",PG-13,70,Twentieth Century Fox,Kenneth Branagh,Kenneth Branagh,Penélope Cruz,3,1,0,0,1,0,0,0,0,0,0
173,2322441,Fifty Shades of Grey,"$166,167,230","$403,484,237","$85,171,450",R,54,Universal Pictures,Sam Taylor-Johnson,Dakota Johnson,Jamie Dornan,5,1,0,0,0,1,0,0,0,0,0
22,1477834,Aquaman,"$335,061,807","$813,424,079","$67,873,522",PG-13,47,Warner Bros.,James Wan,Jason Momoa,Amber Heard,2,0,0,0,0,0,0,1,1,0,0
1006,2381991,The Huntsman: Winter's War,"$48,390,190","$116,599,148","$19,445,035",PG-13,54,Universal Pictures,Cedric Nicolas-Troyan,Chris Hemsworth,Jessica Chastain,4,0,1,0,0,1,0,0,1,0,0
744,963966,The Sorcerer's Apprentice,"$63,150,991","$152,132,751","$17,619,622",PG,60,Walt Disney Studios Motion Pictures,Jon Turteltaub,Nicolas Cage,Jay Baruchel,10,0,0,0,0,0,1,0,1,0,0
132,438097,Ice Age: The Meltdown,"$195,330,621","$471,763,885","$68,033,544",PG,72,Twentieth Century Fox,Carlos Saldanha,Ray Romano,John Leguizamo,14,0,1,0,1,0,0,0,0,1,0
506,1935859,Miss Peregrine's Home for Peculiar Children,"$87,242,834","$209,239,612","$28,871,140",PG-13,47,Twentieth Century Fox,Tim Burton,Eva Green,Asa Butterfield,4,0,0,0,1,0,0,0,0,1,0
398,1790864,The Maze Runner,"$102,427,862","$245,891,999","$32,512,804",PG-13,59,Twentieth Century Fox,Wes Ball,Dylan O'Brien,Kaya Scodelario,6,1,0,0,1,0,0,0,1,0,0
119,2103281,Dawn of the Planet of the Apes,"$208,545,589","$502,098,977","$72,611,427",PG-13,55,Twentieth Century Fox,Matt Reeves,Gary Oldman,Keri Russell,6,0,1,0,1,0,0,0,1,0,0
534,1860353,Turbo,"$83,028,128","$199,542,554","$21,312,625",PG,55,Twentieth Century Fox,David Soren,Ryan Reynolds,Paul Giamatti,7,0,0,0,1,0,0,0,0,1,0
1036,2106361,Into the Storm,"$47,602,194","$113,900,000","$17,346,427",PG-13,55,Warner Bros.,Steven Quale,Richard Armitage,Sarah Wayne Callies,6,0,0,0,0,0,0,1,1,0,0
174,3731562,Kong: Skull Island,"$168,052,812","$398,600,000","$61,025,472",PG-13,40,Warner Bros.,Jordan Vogt-Roberts,Tom Hiddleston,Samuel L. Jackson,3,0,1,0,0,0,0,1,1,0,0
