,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy
62,330373,Harry Potter and the Goblet of Fire,"$290,417,905","$605,984,224","$102,685,961",PG-13,45,Warner Bros.,Mike Newell,Daniel Radcliffe,Emma Watson,15,1,1,0,0,0,0,1,0,1,0
381,3861390,Dumbo,"$114,766,307","$238,518,314","$45,990,748",PG,55,Walt Disney Studios Motion Pictures,Tim Burton,Colin Farrell,Michael Keaton,1,0,0,0,0,0,1,0,0,1,0
531,1535108,Elysium,"$93,050,117","$193,090,583","$29,807,393",R,56,TriStar Pictures,Neill Blomkamp,Matt Damon,Jodie Foster,7,0,0,0,0,0,0,0,1,0,0
429,947798,Black Swan,"$106,954,678","$222,443,368","$1,443,809",R,56,Fox Searchlight Pictures,Darren Aronofsky,Natalie Portman,Mila Kunis,10,0,0,0,0,0,0,0,0,0,0
628,1077368,Dark Shadows,"$79,727,149","$165,800,000","$29,685,274",PG-13,53,Warner Bros.,Tim Burton,Johnny Depp,Michelle Pfeiffer,8,1,0,0,0,0,0,1,0,0,1
278,1504320,The King's Speech,"$138,797,449","$288,576,868","$355,450",R,53,The Weinstein Company,Tom Hooper,Colin Firth,Geoffrey Rush,10,0,0,0,0,0,0,0,0,0,0
924,1469304,Baywatch,"$58,060,186","$119,796,565","$18,503,871",R,51,Paramount Pictures,Seth Gordon,Dwayne Johnson,Zac Efron,3,1,0,0,0,0,0,0,1,0,0
279,242653,The Matrix Revolutions,"$139,313,948","$288,030,329","$48,475,154",R,29,Warner Bros.,Lana Wachowski,Keanu Reeves,Laurence Fishburne,17,0,1,0,0,0,0,1,1,0,0
1167,386140,The Legend of Zorro,"$46,464,023","$95,936,042","$16,328,506",PG,63,Sony Pictures Entertainment (SPE),Martin Campbell,Antonio Banderas,Catherine Zeta-Jones,15,0,1,1,0,0,0,0,1,0,0
43,1014759,Alice in Wonderland,"$334,191,110","$691,276,693","$116,101,023",PG,60,Walt Disney Studios Motion Pictures,Tim Burton,Mia Wasikowska,Johnny Depp,10,1,0,0,0,0,1,0,0,1,0
334,1583421,G.I. Joe: Retaliation,"$122,523,060","$253,217,645","$40,501,814",PG-13,54,Paramount Pictures,Jon M. Chu,Dwayne Johnson,Channing Tatum,7,0,1,0,0,0,0,0,1,0,0
234,2126355,San Andreas,"$155,190,832","$318,800,000","$54,588,173",PG-13,62,Warner Bros.,Brad Peyton,Dwayne Johnson,Carla Gugino,5,0,0,0,0,0,0,1,1,0,0
10,2395427,Avengers: Age of Ultron,"$459,005,868","$943,803,672","$191,271,109",PG-13,66,Walt Disney Studios Motion Pictures,Joss Whedon,Robert Downey Jr.,Chris Evans,5,0,1,0,0,0,1,0,1,0,0
444,955308,Robin Hood,"$105,269,730","$216,400,011","$36,063,385",PG-13,59,Universal Pictures,Ridley Scott,Russell Crowe,Cate Blanchett,10,1,0,0,0,1,0,0,1,0,0
835,5580390,The Shape of Water,"$63,859,435","$131,473,877","$166,564",R,67,Fox Searchlight Pictures,Guillermo del Toro,Sally Hawkins,Octavia Spencer,3,0,0,0,0,0,0,0,0,1,0
392,5117670,Peter Rabbit,"$115,253,424","$236,013,009","$25,010,928",PG,74,Sony Pictures Entertainment (SPE),Will Gluck,James Corden,Fayssal Bazzi,2,1,0,1,0,0,0,0,0,1,0
590,3322940,Annabelle,"$84,273,813","$172,773,848","$37,134,255",R,53,Warner Bros.,John R. Leonetti,Ward Horton,Annabelle Wallis,6,0,0,0,0,0,0,1,0,0,0
6,6105098,The Lion King,"$543,638,043","$1,113,325,747","$191,770,759",PG,56,Walt Disney Studios Motion Pictures,Jon Favreau,Donald Glover,Beyoncé,1,0,0,0,0,0,1,0,0,1,0
519,1261945,Sex and the City 2,"$95,347,692","$195,397,363","$31,001,870",R,57,Warner Bros.,Michael Patrick King,Sarah Jessica Parker,Kim Cattrall,10,1,1,0,0,0,0,1,0,0,1
9,4520988,Frozen II,"$477,373,578","$972,653,355","$130,263,358",PG,54,Walt Disney Studios Motion Pictures,Chris Buck,Kristen Bell,Idina Menzel,1,1,1,0,0,0,1,0,0,1,0
678,360486,Constantine,"$75,976,178","$154,908,550","$29,769,098",R,46,Warner Bros.,Francis Lawrence,Keanu Reeves,Rachel Weisz,15,0,0,0,0,0,0,1,1,0,0
825,1351685,Jack the Giant Slayer,"$65,187,603","$132,500,000","$27,202,226",PG-13,54,Warner Bros.,Bryan Singer,Nicholas Hoult,Stanley Tucci,7,1,0,0,0,0,0,1,0,1,0
484,1355644,Passengers,"$100,014,699","$203,129,453","$14,869,736",PG-13,60,Sony Pictures Entertainment (SPE),Morten Tyldum,Jennifer Lawrence,Chris Pratt,4,0,0,1,0,0,0,0,0,0,0
150,382932,Ratatouille,"$206,445,654","$417,280,431","$47,027,395",G,62,Walt Disney Studios Motion Pictures,Brad Bird,Brad Garrett,Lou Romano,13,0,0,0,0,0,1,0,0,1,0
218,800320,Clash of the Titans,"$163,214,888","$330,000,105","$61,235,105",PG-13,59,Warner Bros.,Louis Leterrier,Sam Worthington,Liam Neeson,10,1,0,0,0,0,0,1,1,0,0
23,167260,The Lord of the Rings: The Return of the King,"$377,845,905","$764,425,084","$72,629,713",PG-13,67,New Line Cinema,Peter Jackson,Elijah Wood,Viggo Mortensen,17,1,1,0,0,0,0,0,1,0,0
4,4154756,Avengers: Infinity War,"$678,815,482","$1,369,544,272","$257,698,183",PG-13,54,Walt Disney Studios Motion Pictures,Anthony Russo,Robert Downey Jr.,Chris Hemsworth,2,0,1,0,0,0,1,0,1,0,0
199,3874544,The Boss Baby,"$175,003,033","$352,962,903","$50,198,902",PG,69,Twentieth Century Fox,Tom McGrath,Alec Baldwin,Steve Buscemi,3,1,0,0,1,0,0,0,0,1,0
909,1645170,The Dictator,"$59,650,222","$119,729,311","$17,435,092",R,49,Paramount Pictures,Larry Charles,Sacha Baron Cohen,Anna Faris,8,0,0,0,0,0,0,0,0,0,1
1091,293508,The Phantom of the Opera,"$51,268,815","$103,380,072","$4,001,890",PG-13,48,Warner Bros.,Joel Schumacher,Gerard Butler,Emmy Rossum,16,1,0,0,0,0,0,1,0,0,0
44,2948356,Zootopia,"$341,268,248","$682,523,247","$75,063,401",PG,60,Walt Disney Studios Motion Pictures,Byron Howard,Ginnifer Goodwin,Jason Bateman,4,0,0,0,0,0,1,0,0,1,0
661,212720,A.I. Artificial Intelligence,"$78,616,689","$157,309,863","$29,352,630",PG-13,14,Warner Bros.,Steven Spielberg,Haley Joel Osment,Jude Law,19,0,0,0,0,0,0,1,0,0,0
478,5140878,Annabelle: Creation,"$102,092,201","$204,423,683","$35,006,404",R,40,Warner Bros.,David F. Sandberg,Anthony LaPaglia,Samara Lee,3,0,1,0,0,0,0,1,0,0,0
273,5884052,Pokémon Detective Pikachu,"$144,105,346","$288,900,000","$54,365,242",PG,46,Warner Bros.,Rob Letterman,Ryan Reynolds,Justice Smith,1,0,0,0,0,0,0,1,1,0,0
969,450259,Blood Diamond,"$57,377,916","$114,342,482","$8,648,324",R,44,Warner Bros.,Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,14,0,0,0,0,0,0,1,0,1,0
627,3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,"$82,051,601","$163,572,247","$35,316,382",PG-13,47,Paramount Pictures,Dave Green,Megan Fox,Will Arnett,4,0,1,0,0,0,0,0,1,0,0
995,1502712,Fantastic Four,"$56,117,548","$111,765,333","$25,685,737",PG-13,60,Twentieth Century Fox,Josh Trank,Miles Teller,Kate Mara,5,0,0,0,1,0,0,0,1,0,0
896,409182,Poseidon,"$60,674,817","$121,000,000","$22,155,410",PG-13,47,Warner Bros.,Wolfgang Petersen,Richard Dreyfuss,Kurt Russell,14,0,0,0,0,0,0,1,1,0,0
389,1670345,Now You See Me,"$117,723,989","$234,000,000","$29,350,389",PG-13,50,Lionsgate,Louis Leterrier,Jesse Eisenberg,Common,7,0,0,0,0,0,0,0,0,0,0
147,1596343,Fast Five,"$209,837,675","$416,300,000","$86,198,765",PG-13,60,Universal Pictures,Justin Lin,Vin Diesel,Paul Walker,9,0,1,0,0,1,0,0,1,0,0
308,317919,Mission: Impossible III,"$134,029,801","$264,449,696","$47,743,273",PG-13,68,Paramount Pictures,J.J. Abrams,Tom Cruise,Michelle Monaghan,14,1,1,0,0,0,0,0,1,0,0
19,1300854,Iron Man 3,"$409,013,994","$805,797,258","$174,144,585",PG-13,54,Walt Disney Studios Motion Pictures,Shane Black,Robert Downey Jr.,Guy Pearce,7,0,1,0,0,0,1,0,1,0,0
474,1446192,Rise of the Guardians,"$103,412,758","$203,528,912","$23,773,465",PG,53,DreamWorks,Peter Ramsey,Hugh Jackman,Alec Baldwin,8,1,0,0,0,0,0,0,1,0,0
263,1707386,Les Misérables,"$148,809,770","$293,000,000","$27,281,735",PG-13,55,Universal Pictures,Tom Hooper,Hugh Jackman,Russell Crowe,8,0,0,0,0,1,0,0,0,0,0
258,3783958,La La Land,"$151,101,803","$295,385,068","$881,104",PG-13,66,Lionsgate,Damien Chazelle,Ryan Gosling,Emma Stone,4,0,0,0,0,0,0,0,0,0,1
36,6139732,Aladdin,"$355,559,216","$695,134,737","$91,500,929",PG,55,Walt Disney Studios Motion Pictures,Guy Ritchie,Will Smith,Mena Massoud,1,1,0,0,0,0,1,0,0,1,0
136,2245084,Big Hero 6,"$222,527,828","$435,341,593","$56,215,889",PG,61,Walt Disney Studios Motion Pictures,Don Hall,Ryan Potter,Scott Adsit,6,0,0,0,0,0,1,0,1,0,0
181,319262,The Day After Tomorrow,"$186,740,799","$365,898,772","$68,743,584",PG-13,64,Twentieth Century Fox,Roland Emmerich,Dennis Quaid,Jake Gyllenhaal,16,1,0,0,1,0,0,0,1,0,0
347,438488,Terminator Salvation,"$125,322,469","$246,030,532","$42,558,390",PG-13,73,Warner Bros.,McG,Christian Bale,Sam Worthington,11,0,1,0,0,0,0,1,1,0,0
284,499448,The Chronicles of Narnia: Prince Caspian,"$141,621,490","$278,044,078","$55,034,805",PG,63,Walt Disney Studios Motion Pictures,Andrew Adamson,Ben Barnes,Skandar Keynes,12,1,1,0,0,0,1,0,1,0,0
913,6324278,Abominable,"$60,716,390","$118,336,168","$20,612,100",PG,64,Universal Pictures,Jill Culton,Chloe Bennet,Albert Tsai,1,1,0,0,0,1,0,0,0,1,0
162,398286,Tangled,"$200,821,936","$391,639,796","$48,767,052",PG,61,Walt Disney Studios Motion Pictures,Nathan Greno,Mandy Moore,Zachary Levi,10,1,0,0,0,0,1,0,0,1,0
1061,2381941,Focus,"$53,862,963","$104,900,000","$18,685,137",R,60,Warner Bros.,Glenn Ficarra,Will Smith,Margot Robbie,5,1,0,0,0,0,0,1,0,0,1
1044,5027774,"Three Billboards Outside Ebbing, Missouri","$54,513,740","$105,678,291","$322,168",R,66,Fox Searchlight Pictures,Martin McDonagh,Frances McDormand,Woody Harrelson,3,0,0,0,0,0,0,0,0,0,1
669,970416,The Day the Earth Stood Still,"$79,366,978","$153,726,881","$30,480,153",PG-13,75,Twentieth Century Fox,Scott Derrickson,Keanu Reeves,Jennifer Connelly,12,0,0,0,1,0,0,0,0,0,0
982,358135,Shall We Dance,"$57,890,460","$112,238,000","$11,600,000",PG-13,48,Miramax,Peter Chelsom,Richard Gere,Jennifer Lopez,16,0,0,0,0,0,0,0,0,0,1
194,462538,The Simpsons Movie,"$183,135,014","$353,279,256","$74,036,787",PG-13,72,Twentieth Century Fox,David Silverman,Dan Castellaneta,Julie Kavner,13,1,0,0,1,0,0,0,0,1,0
143,441773,Kung Fu Panda,"$215,434,591","$416,311,606","$60,239,130",PG,69,DreamWorks,Mark Osborne,Jack Black,Ian McShane,12,0,0,0,0,0,0,0,1,0,0
1072,431308,P.S. I Love You,"$53,695,808","$103,139,531","$6,481,221",PG-13,53,Warner Bros.,Richard LaGravenese,Hilary Swank,Gerard Butler,13,0,0,0,0,0,0,1,0,0,1
177,1216475,Cars 2,"$191,452,396","$368,400,000","$66,135,507",G,73,Walt Disney Studios Motion Pictures,John Lasseter,Owen Wilson,Larry the Cable Guy,9,0,1,0,0,0,1,0,0,1,0
963,2278388,The Grand Budapest Hotel,"$59,301,324","$113,638,722","$811,166",R,48,Fox Searchlight Pictures,Wes Anderson,Ralph Fiennes,F. Murray Abraham,6,0,0,0,0,0,0,0,0,1,0
129,1211837,Doctor Strange,"$232,641,920","$445,154,156","$85,058,311",PG-13,52,Walt Disney Studios Motion Pictures,Scott Derrickson,Benedict Cumberbatch,Chiwetel Ejiofor,4,0,0,0,0,0,1,0,1,0,0
582,1210819,The Lone Ranger,"$89,302,115","$171,200,000","$29,210,849",PG-13,53,Walt Disney Studios Motion Pictures,Gore Verbinski,Johnny Depp,Armie Hammer,7,1,0,0,0,0,1,0,1,0,0
814,1854564,Percy Jackson: Sea of Monsters,"$68,559,554","$131,290,761","$14,401,054",PG,52,Twentieth Century Fox,Thor Freudenthal,Logan Lerman,Alexandra Daddario,7,1,1,0,1,0,0,0,0,1,0
1141,432021,Resident Evil: Extinction,"$50,648,679","$97,069,154","$23,678,580",R,59,Screen Gems,Russell Mulcahy,Milla Jovovich,Ali Larter,13,0,1,0,0,0,0,0,1,0,0
1155,299172,Home on the Range,"$50,030,461","$95,327,601","$13,880,771",PG,32,Walt Disney Studios Motion Pictures,Will Finn,Judi Dench,Cuba Gooding Jr.,16,0,0,0,0,0,1,0,0,1,0
188,1515091,Sherlock Holmes: A Game of Shadows,"$186,848,418","$357,000,000","$39,637,079",PG-13,52,Warner Bros.,Guy Ritchie,Robert Downey Jr.,Jude Law,9,1,1,0,0,0,0,1,1,0,0
195,1663202,The Revenant,"$183,637,894","$349,312,609","$474,560",R,63,Twentieth Century Fox,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,5,1,0,0,1,0,0,0,1,0,0
1099,408236,Sweeney Todd: The Demon Barber of Fleet Street,"$52,898,073","$100,485,554","$9,300,805",R,59,DreamWorks,Tim Burton,Johnny Depp,Helena Bonham Carter,13,0,1,0,0,0,0,0,0,0,0
24,6320628,Spider-Man: Far from Home,"$390,532,085","$741,395,911","$92,579,212",PG-13,75,Sony Pictures Entertainment (SPE),Jon Watts,Tom Holland,Samuel L. Jackson,1,0,1,1,0,0,0,0,1,0,0
363,349903,Ocean's Twelve,"$125,544,280","$237,200,000","$39,153,380",PG-13,50,Warner Bros.,Steven Soderbergh,George Clooney,Brad Pitt,16,0,1,0,0,0,0,1,0,0,0
104,948470,The Amazing Spider-Man,"$262,030,663","$495,900,000","$62,004,688",PG-13,58,Sony Pictures Entertainment (SPE),Marc Webb,Andrew Garfield,Emma Stone,8,0,1,1,0,0,0,0,1,0,0
319,337978,Live Free or Die Hard,"$134,529,403","$253,626,608","$33,369,559",PG-13,75,Twentieth Century Fox,Len Wiseman,Bruce Willis,Justin Long,13,1,1,0,1,0,0,0,1,0,0
208,478970,Ant-Man,"$180,202,163","$339,109,802","$57,225,526",PG-13,61,Walt Disney Studios Motion Pictures,Peyton Reed,Paul Rudd,Michael Douglas,5,0,0,0,0,0,1,0,1,0,0
1080,3460252,The Hateful Eight,"$54,117,416","$101,645,094","$4,610,676",R,52,The Weinstein Company,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,5,0,0,0,0,0,0,0,0,0,0
1151,758766,Music and Lyrics,"$50,572,589","$95,323,833","$13,623,630",PG-13,57,Warner Bros.,Marc Lawrence,Hugh Grant,Drew Barrymore,13,0,0,0,0,0,0,1,0,0,1
272,181852,Terminator 3: Rise of the Machines,"$150,371,112","$283,000,000","$44,041,440",R,27,Warner Bros.,Jonathan Mostow,Arnold Schwarzenegger,Nick Stahl,17,0,1,0,0,0,0,1,1,0,0
135,974015,Justice League,"$229,024,295","$428,902,692","$93,842,239",PG-13,43,Warner Bros.,Zack Snyder,Ben Affleck,Gal Gadot,3,0,0,0,0,0,0,1,1,0,0
151,5095030,Ant-Man and the Wasp,"$216,648,740","$406,025,399","$75,812,205",PG-13,52,Walt Disney Studios Motion Pictures,Peyton Reed,Paul Rudd,Evangeline Lilly,2,0,1,0,0,0,1,0,1,0,0
1076,1596350,This Means War,"$54,760,791","$101,730,488","$17,405,930",PG-13,52,Twentieth Century Fox,McG,Reese Witherspoon,Chris Pine,8,0,0,0,1,0,0,0,1,0,0
79,1375666,Inception,"$292,576,195","$544,260,772","$62,785,337",PG-13,62,Warner Bros.,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,10,0,0,0,0,0,0,1,1,0,0
560,443649,"10,000 BC","$94,784,201","$175,000,000","$35,867,488",PG-13,64,Warner Bros.,Roland Emmerich,Camilla Belle,Steven Strait,12,0,0,0,0,0,0,1,1,0,0
81,1673434,The Twilight Saga: Breaking Dawn - Part 2,"$292,324,737","$537,422,751","$141,067,634",PG-13,53,Lionsgate,Bill Condon,Kristen Stewart,Robert Pattinson,8,0,1,0,0,0,0,0,0,1,0
21,3498820,Captain America: Civil War,"$408,084,349","$745,247,771","$179,139,142",PG-13,48,Walt Disney Studios Motion Pictures,Anthony Russo,Chris Evans,Robert Downey Jr.,4,0,1,0,0,0,1,0,1,0,0
1028,397535,Memoirs of a Geisha,"$57,490,508","$104,752,454","$682,504",PG-13,65,Sony Pictures Entertainment (SPE),Rob Marshall,Ziyi Zhang,Ken Watanabe,15,1,0,1,0,0,0,0,0,0,0
64,120737,The Lord of the Rings: The Fellowship of the Ring,"$315,544,750","$572,390,244","$47,211,490",PG-13,65,New Line Cinema,Peter Jackson,Elijah Wood,Ian McKellen,19,1,1,0,0,0,0,0,1,0,0
584,1856101,Blade Runner 2049,"$92,054,159","$167,185,499","$32,753,122",R,75,Warner Bros.,Denis Villeneuve,Harrison Ford,Ryan Gosling,3,1,1,0,0,0,0,1,1,0,0
375,918940,The Legend of Tarzan,"$126,643,061","$230,057,296","$38,527,856",PG-13,38,Warner Bros.,David Yates,Alexander Skarsgård,Rory J. Saper,4,1,0,0,0,0,0,1,1,0,0
722,362227,The Terminal,"$77,872,883","$141,227,201","$19,053,199",PG-13,61,DreamWorks Distribution,Steven Spielberg,Tom Hanks,Catherine Zeta-Jones,16,0,0,0,0,0,0,0,0,0,1
890,1667353,Mirror Mirror,"$64,935,167","$118,083,355","$18,132,085",PG,49,Relativity Media,Tarsem Singh,Lily Collins,Julia Roberts,8,1,0,0,0,0,0,0,0,1,0
905,453467,Deja Vu,"$64,038,616","$116,518,934","$20,574,802",PG-13,39,Walt Disney Studios Motion Pictures,Tony Scott,Denzel Washington,Paula Patton,14,0,0,0,0,0,1,0,1,0,0
790,2334879,White House Down,"$73,103,784","$132,262,953","$24,852,258",PG-13,56,Sony Pictures Entertainment (SPE),Roland Emmerich,Channing Tatum,Jamie Foxx,7,0,0,1,0,0,0,0,1,0,0
701,489099,Jumper,"$80,172,128","$144,959,985","$27,354,808",PG-13,73,Twentieth Century Fox,Doug Liman,Hayden Christensen,Samuel L. Jackson,12,1,0,0,1,0,0,0,1,0,0
871,1144884,The Final Destination,"$66,477,700","$119,689,439","$27,408,309",R,55,Warner Bros.,David R. Ellis,Nick Zano,Krista Allen,11,0,1,0,0,0,0,1,0,0,0
232,2510894,Hotel Transylvania 2,"$169,700,110","$305,099,890","$48,464,322",PG,70,Sony Pictures Entertainment (SPE),Genndy Tartakovsky,Adam Sandler,Andy Samberg,5,0,1,1,0,0,0,0,0,0,0
191,351283,Madagascar,"$193,595,521","$348,468,325","$47,224,594",PG,63,DreamWorks Distribution,Eric Darnell,Chris Rock,Ben Stiller,15,0,0,0,0,0,0,0,0,1,0
603,962726,High School Musical 3,"$90,559,416","$162,349,761","$42,030,184",G,61,Walt Disney Studios Motion Pictures,Kenny Ortega,Zac Efron,Vanessa Hudgens,12,0,0,0,0,0,1,0,0,0,1
200,5013056,Dunkirk,"$189,740,665","$337,208,738","$50,513,488",PG-13,43,Warner Bros.,Christopher Nolan,Fionn Whitehead,Barry Keoghan,3,0,0,0,0,0,0,1,1,0,0
1135,1821694,RED 2,"$53,262,560","$94,813,005","$18,048,422",PG-13,51,Lionsgate,Dean Parisot,Bruce Willis,Helen Mirren,7,0,1,0,0,0,0,0,1,0,0
111,1453405,Monsters University,"$268,492,764","$475,066,843","$82,429,469",G,54,Walt Disney Studios Motion Pictures,Dan Scanlon,Billy Crystal,John Goodman,7,0,1,0,0,0,1,0,0,1,0
146,448157,Hancock,"$227,946,274","$401,497,154","$62,603,879",PG-13,79,Sony Pictures Entertainment (SPE),Peter Berg,Will Smith,Charlize Theron,12,0,0,1,0,0,0,0,1,0,0
145,3659388,The Martian,"$228,433,663","$401,728,227","$54,308,575",PG-13,69,Twentieth Century Fox,Ridley Scott,Matt Damon,Jessica Chastain,5,1,0,0,1,0,0,0,0,1,0
1030,3393786,Jack Reacher: Never Go Back,"$58,697,076","$103,449,000","$22,872,490",PG-13,54,Paramount Pictures,Edward Zwick,Tom Cruise,Cobie Smulders,4,1,1,0,0,0,0,0,1,0,0
56,167261,The Lord of the Rings: The Two Towers,"$342,551,365","$600,730,905","$62,007,528",PG-13,66,New Line Cinema,Peter Jackson,Elijah Wood,Ian McKellen,18,1,1,0,0,0,0,0,1,0,0
918,424095,Flushed Away,"$64,665,672","$113,615,882","$18,814,323",PG,60,DreamWorks,David Bowers,Hugh Jackman,Kate Winslet,14,0,0,0,0,0,0,0,0,1,0
116,1843866,Captain America: The Winter Soldier,"$259,766,572","$454,654,931","$95,023,721",PG-13,54,Walt Disney Studios Motion Pictures,Anthony Russo,Chris Evans,Samuel L. Jackson,6,0,1,0,0,0,1,0,1,0,0
285,1000774,Sex and the City,"$152,647,258","$266,118,063","$57,038,404",R,67,Warner Bros.,Michael Patrick King,Sarah Jessica Parker,Kim Cattrall,12,1,0,0,0,0,0,1,0,0,1
865,1396218,Mr. Popper's Penguins,"$68,224,452","$119,137,302","$18,445,355",PG,64,Twentieth Century Fox,Mark Waters,Jim Carrey,Carla Gugino,9,0,0,0,1,0,0,0,0,0,1
667,2974918,Alvin and the Chipmunks: The Road Chip,"$85,886,987","$148,911,649","$14,287,159",PG,57,Twentieth Century Fox,Walt Becker,Jason Lee,Justin Long,5,1,1,0,1,0,0,0,0,1,0
1081,5886046,Escape Room,"$57,005,601","$98,706,476","$18,238,172",PG-13,70,Sony Pictures Entertainment (SPE),Adam Robitel,Taylor Russell,Logan Miller,1,0,0,1,0,0,0,0,1,0,0
720,1033643,What Happens in Vegas,"$80,277,646","$139,097,916","$20,172,474",PG-13,73,Twentieth Century Fox,Tom Vaughan,Cameron Diaz,Ashton Kutcher,12,0,0,0,1,0,0,0,0,0,1
153,3315342,Logan,"$226,277,068","$392,744,368","$88,411,916",R,71,Twentieth Century Fox,James Mangold,Hugh Jackman,Patrick Stewart,3,0,1,0,1,0,0,0,1,0,0
725,790724,Jack Reacher,"$80,070,736","$138,269,859","$15,210,156",PG-13,54,Paramount Pictures,Christopher McQuarrie,Tom Cruise,Rosamund Pike,8,1,0,0,0,0,0,0,1,0,0
228,1318514,Rise of the Planet of the Apes,"$176,760,185","$305,040,688","$54,806,191",PG-13,64,Twentieth Century Fox,Rupert Wyatt,James Franco,Andy Serkis,9,0,0,0,1,0,0,0,1,0,0
693,1253864,Immortals,"$83,504,017","$143,400,000","$32,206,425",R,49,Relativity Media,Tarsem Singh,Henry Cavill,Mickey Rourke,9,1,0,0,0,0,0,0,1,0,0
372,181689,Minority Report,"$132,072,926","$226,300,000","$35,677,125",PG-13,28,Twentieth Century Fox,Steven Spielberg,Tom Cruise,Colin Farrell,18,1,0,0,1,0,0,0,1,0,0
465,397892,Bolt,"$114,053,579","$195,926,415","$26,223,128",PG,62,Walt Disney Studios Motion Pictures,Byron Howard,John Travolta,Miley Cyrus,12,0,0,0,0,0,1,0,0,1,0
1122,1464540,I Am Number Four,"$55,100,437","$94,778,000","$19,449,893",PG-13,57,Walt Disney Studios Motion Pictures,D.J. Caruso,Alex Pettyfer,Timothy Olyphant,9,0,0,0,0,0,1,0,1,0,0
275,5113040,The Secret Life of Pets 2,"$158,874,395","$271,176,898","$46,652,680",PG,66,Universal Pictures,Chris Renaud,Patton Oswalt,Kevin Hart,1,0,1,0,0,1,0,0,0,1,0
1018,887883,Burn After Reading,"$60,355,347","$103,373,555","$19,128,001",R,61,Focus Features,Ethan Coen,Brad Pitt,Frances McDormand,12,0,0,0,0,0,0,0,0,0,1
1095,1605783,Midnight in Paris,"$56,817,045","$97,142,545","$599,003",PG-13,48,Sony Pictures Classics,Woody Allen,Owen Wilson,Rachel McAdams,9,0,0,0,0,0,0,0,0,0,1
911,3410834,Allegiant,"$66,184,051","$113,062,817","$29,027,348",PG-13,54,Lionsgate,Robert Schwentke,Shailene Woodley,Theo James,4,0,0,0,0,0,0,0,1,0,0
1189,3741834,Lion,"$51,738,905","$88,574,023","$123,360",PG-13,50,The Weinstein Company,Garth Davis,Dev Patel,Nicole Kidman,4,0,0,0,0,0,0,0,0,0,0
78,3501632,Thor: Ragnarok,"$315,058,289","$538,922,202","$122,744,989",PG-13,52,Walt Disney Studios Motion Pictures,Taika Waititi,Chris Hemsworth,Tom Hiddleston,3,0,1,0,0,0,1,0,1,0,0
425,1979388,The Good Dinosaur,"$123,087,120","$209,120,551","$39,155,217",PG,58,Walt Disney Studios Motion Pictures,Peter Sohn,Jeffrey Wright,Frances McDormand,5,0,0,0,0,0,1,0,0,1,0
910,311429,The League of Extraordinary Gentlemen,"$66,465,204","$112,800,000","$23,075,892",PG-13,23,Twentieth Century Fox,Stephen Norrington,Sean Connery,Stuart Townsend,17,0,0,0,1,0,0,0,1,0,0
802,356634,Garfield,"$75,369,589","$127,802,828","$21,727,611",PG,65,Twentieth Century Fox,Peter Hewitt,Breckin Meyer,Jennifer Love Hewitt,16,0,0,0,1,0,0,0,0,0,0
190,1661199,Cinderella,"$201,151,353","$341,200,000","$67,877,361",PG,65,Walt Disney Studios Motion Pictures,Kenneth Branagh,Lily James,Cate Blanchett,5,1,0,0,0,0,1,0,0,0,0
1143,945513,Source Code,"$54,712,227","$92,620,470","$14,812,094",PG-13,51,Summit Entertainment,Duncan Jones,Jake Gyllenhaal,Michelle Monaghan,9,0,0,0,0,0,0,0,1,0,0
906,2119532,Hacksaw Ridge,"$67,209,615","$113,241,303","$15,190,758",R,48,Lionsgate,Mel Gibson,Andrew Garfield,Sam Worthington,4,0,0,0,0,0,0,0,0,0,0
333,1397280,Taken 2,"$139,854,287","$236,298,168","$49,514,769",PG-13,53,Twentieth Century Fox,Olivier Megaton,Liam Neeson,Famke Janssen,8,0,1,0,1,0,0,0,1,0,0
1125,1632708,Friends with Benefits,"$55,802,754","$93,739,491","$18,622,150",R,61,Screen Gems,Will Gluck,Mila Kunis,Justin Timberlake,9,0,0,0,0,0,0,0,0,0,1
274,246460,Die Another Day,"$160,942,139","$271,028,977","$47,072,040",PG-13,27,Metro-Goldwyn-Mayer (MGM),Lee Tamahori,Pierce Brosnan,Halle Berry,18,1,1,0,0,0,0,0,1,0,0
1118,4555426,Darkest Hour,"$56,468,410","$94,378,864","$175,006",PG-13,65,Focus Features,Joe Wright,Gary Oldman,Lily James,3,1,0,0,0,0,0,0,0,0,0
332,1010048,Slumdog Millionaire,"$141,319,928","$237,090,185","$360,018",R,69,Fox Searchlight Pictures,Danny Boyle,Dev Patel,Freida Pinto,12,0,0,0,0,0,0,0,0,0,0
411,461770,Enchanted,"$127,807,262","$212,680,390","$34,440,317",PG,61,Walt Disney Studios Motion Pictures,Kevin Lima,Amy Adams,Susan Sarandon,13,0,0,0,0,0,1,0,0,0,0
