,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13,Is_Animation,Is_Family,Is_Horror,Is_Sci-Fi,Is_Fantasy,Is_Romance,Rating,Metascore
84,84,169,169,299977,Hero,53710019,123685538,17800000,PG-13,47,Miramax,Yimou Zhang,Jet Li,Tony Chiu-Wai Leung,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,
85,85,192,192,304141,Harry Potter and the Prisoner of Azkaban,249975996,546204132,93687367,PG,48,Warner Bros.,Alfonso Cuarón,Daniel Radcliffe,Emma Watson,16,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,7.9,82.0
86,86,522,522,304415,Mona Lisa Smile,63860942,77477047,11528498,PG-13,25,Revolution Studios,Mike Newell,Julia Roberts,Kirsten Dunst,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.5,45.0
87,87,814,814,305224,Anger Management,135645823,60100000,42220847,PG-13,24,Revolution Studios,Peter Segal,Jack Nicholson,Adam Sandler,17,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.2,52.0
88,88,385,385,305357,Charlie's Angels: Full Throttle,100830111,158345677,37634221,PG-13,27,Sony Pictures Entertainment (SPE),McG,Drew Barrymore,Lucy Liu,17,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.9,48.0
89,89,837,837,305669,Bringing Down the House,132716677,32013002,31101026,PG-13,26,Walt Disney Studios Motion Pictures,Adam Shankman,Steve Martin,Queen Latifah,17,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,
90,90,624,624,306047,Scary Movie 3,110003217,110670000,49700000,PG-13,26,Dimension Films,David Zucker,Anna Faris,Charlie Sheen,17,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5.5,49.0
91,91,465,465,307453,Shark Tale,160861908,213721971,47604606,PG,62,DreamWorks Distribution,Bibo Bergeron,Will Smith,Robert De Niro,16,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,6.0,48.0
92,92,507,507,311113,Master and Commander: The Far Side of the World,93927920,117694615,25105990,PG-13,62,Twentieth Century Fox,Peter Weir,Russell Crowe,Paul Bettany,17,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,
93,93,340,340,311429,The League of Extraordinary Gentlemen,66465204,112800000,23075892,PG-13,23,Twentieth Century Fox,Stephen Norrington,Sean Connery,Stuart Townsend,17,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,5.8,30.0
94,94,559,559,313737,Two Weeks Notice,93354851,105688391,14328494,PG-13,25,Warner Bros.,Marc Lawrence,Sandra Bullock,Hugh Grant,18,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,6.1,42.0
95,95,74,74,314331,Love Actually,59696144,185239238,6886080,R,51,Universal Pictures,Richard Curtis,Hugh Grant,Martine McCutcheon,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,
96,96,633,633,315327,Bruce Almighty,242829261,241763613,67953330,PG-13,26,Universal Pictures,Tom Shadyac,Jim Carrey,Jennifer Aniston,17,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6.7,46.0
97,97,568,568,316654,Spider-Man 2,373585825,415390628,88156227,PG-13,72,Sony Pictures Entertainment (SPE),Sam Raimi,Tobey Maguire,Kirsten Dunst,16,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,7.3,83.0
